,location,total_sqft,bath,price,bhk
5276,Hennur Road,1015.0,2.0,50.0,2
5277,Kadugodi,1351.0,2.0,78.0,3
5278,Yelahanka New Town,960.0,2.0,50.0,2
5279,Other,1110.0,2.0,52.0,2
5280,R.T. Nagar,1680.0,3.0,72.0,3
5281,Arekere,2400.0,3.0,180.0,3
5282,Other,1350.0,3.0,48.6,3
5283,Horamavu Banaswadi,1254.0,2.0,47.0,2
5284,CV Raman Nagar,1051.0,2.0,61.0,2
5285,Uttarahalli,1099.0,2.0,65.0,2
5286,Sarjapur  Road,1200.0,3.0,70.0,3
5287,Whitefield,1125.0,2.0,45.0,2
5288,Vittasandra,1650.0,3.0,85.0,3
5289,Other,834.0,1.0,62.0,1
5290,Gollarapalya Hosahalli,1320.0,3.0,60.0,3
5291,Mysore Road,1500.0,3.0,74.0,3
5292,Whitefield,1180.0,2.0,70.0,2
5293,Kadugodi,1010.0,2.0,50.0,2
5294,Channasandra,1070.0,2.0,38.0,2
5295,Choodasandra,1580.0,3.0,105.0,3
5296,Iblur Village,1920.0,3.0,130.0,3
5297,Sanjay nagar,1200.0,2.0,76.0,3
5298,Kalena Agrahara,1040.0,2.0,45.0,2
5299,Hulimavu,1430.0,2.0,90.0,3
5300,Uttarahalli,1215.0,2.0,52.85,3
5301,Thanisandra,1564.0,3.0,105.0,3
5302,Hormavu,750.0,2.0,58.0,2
5303,Kasavanhalli,1200.0,2.0,60.0,2
5304,Raja Rajeshwari Nagar,1128.0,2.0,48.79,2
5305,Begur Road,1200.0,2.0,44.4,2
5306,Other,2000.0,4.0,135.0,4
5307,Yelahanka,1650.0,3.0,105.0,3
5308,Yelahanka,1200.0,2.0,55.0,2
5309,Kengeri Satellite Town,985.0,2.0,42.0,2
5310,Ramagondanahalli,1475.0,2.0,63.0,3
5311,Sarjapur  Road,1157.0,2.0,53.99,3
5312,Other,900.0,2.0,35.0,2
5313,Gottigere,2500.0,3.0,120.0,4
5314,GM Palaya,1030.0,2.0,60.0,2
5315,Other,1000.0,2.0,46.0,2
5316,Kasavanhalli,4260.0,4.0,333.0,4
5317,Kudlu,1570.0,2.0,65.94,3
5318,Kanakapura,1283.0,2.0,68.0,2
5319,Other,1200.0,2.0,52.0,2
5320,Konanakunte,2400.0,2.0,180.0,3
5321,Kathriguppe,1250.0,2.0,68.75,3
5322,Yelahanka,990.0,2.0,37.62,2
5323,Panathur,1199.0,2.0,85.0,2
5324,Other,1280.0,2.0,90.0,2
5325,Other,1190.0,2.0,55.0,2
5326,Yelachenahalli,1100.0,2.0,60.0,2
5327,Harlur,1133.0,2.0,55.0,2
5328,Somasundara Palya,2400.0,3.0,140.0,4
5329,Whitefield,1280.0,2.0,69.0,2
5330,Horamavu Agara,1250.0,3.0,65.0,3
5331,Begur Road,1565.0,2.0,49.3,3
5332,Other,1900.0,3.0,65.0,3
5333,Munnekollal,1080.0,2.0,45.0,2
5334,Battarahalli,600.0,1.0,47.0,1
5335,HRBR Layout,1335.0,2.0,87.0,3
5336,Vittasandra,1246.0,2.0,67.3,2
5337,JP Nagar,3496.5,2.0,237.5,3
5338,Sarjapur  Road,1385.0,3.0,55.0,3
5339,Other,1578.0,3.0,73.9,3
5340,HSR Layout,1140.0,2.0,46.0,2
5341,Sarjapur  Road,1700.0,3.0,79.9,3
5342,Vidyaranyapura,1120.0,2.0,70.0,2
5343,Electronic City,435.0,1.0,22.0,1
5344,Magadi Road,1116.0,2.0,51.89,2
5345,Old Madras Road,1480.0,3.0,95.0,3
5346,Hormavu,1000.0,2.0,50.0,2
5347,HSR Layout,1145.0,2.0,46.0,2
5348,Bommasandra,800.0,1.0,32.0,2
5349,Thanisandra,1265.0,2.0,83.0,2
5350,Devanahalli,1700.0,3.0,88.2,3
5351,Other,1475.0,2.0,70.0,2
5352,BTM 2nd Stage,1265.0,2.0,55.0,2
5353,Anandapura,1200.0,2.0,58.0,2
5354,Brookefield,1080.0,2.0,50.0,2
5355,Other,2400.0,2.0,125.0,2
5356,Kadubeesanahalli,1545.0,2.0,66.0,3
5357,6th Phase JP Nagar,1350.0,2.0,58.0,3
5358,Hoodi,1108.0,2.0,74.23,2
5359,Marathahalli,1730.0,3.0,115.0,3
5360,Other,1427.0,2.0,70.0,3
5361,Yelahanka,935.0,2.0,35.53,2
5362,Sarjapura - Attibele Road,1073.0,2.0,31.77,2
5363,Ananth Nagar,960.0,2.0,37.0,2
5364,Brookefield,1230.0,2.0,55.0,2
5365,Mahadevpura,1438.0,2.0,89.0,2
5366,7th Phase JP Nagar,1080.0,2.0,75.0,2
5367,Uttarahalli,1590.0,3.0,58.0,3
5368,Other,1350.0,3.0,68.0,3
5369,Raja Rajeshwari Nagar,1400.0,2.0,48.0,3
5370,Kaggadasapura,1560.0,2.0,72.0,3
5371,Mallasandra,1810.0,3.0,57.0,4
5372,Sonnenahalli,1484.0,3.0,74.18,3
5373,Other,1455.0,2.0,55.0,3
5374,Bharathi Nagar,1351.0,2.0,74.0,2
5375,Kanakpura Road,1223.0,2.0,42.81,3
5376,KR Puram,1430.0,2.0,61.0,3
5377,Sarjapur  Road,984.0,2.0,55.0,2
5378,Jalahalli,1770.0,3.0,100.0,3
5379,Bhoganhalli,1447.0,2.0,75.97,2
5380,Margondanahalli,1140.0,2.0,60.0,2
5381,Poorna Pragna Layout,1160.0,2.0,46.39,2
5382,Kanakpura Road,1296.0,2.0,89.0,2
5383,Other,1570.0,3.0,80.0,3
5384,Other,1495.0,2.0,65.0,3
5385,Hoodi,1530.0,2.0,67.0,3
5386,Gunjur,1800.0,3.0,70.0,3
5387,Bellandur,1088.0,2.0,48.0,2
5388,Hosa Road,1533.0,3.0,98.18,3
5389,Rachenahalli,1100.0,2.0,68.0,2
5390,Thubarahalli,1540.0,3.0,90.0,3
5391,Hosa Road,1040.0,2.0,68.59,2
5392,Begur Road,1260.0,2.0,39.69,2
5393,Uttarahalli,1180.0,2.0,41.3,2
5394,Other,1350.0,3.0,75.0,3
5395,Other,1464.0,3.0,56.0,3
5396,Vijayanagar,920.0,2.0,60.0,2
5397,Yelahanka New Town,2095.0,3.0,109.0,4
5398,Begur Road,1100.0,2.0,71.42,2
5399,Vijayanagar,1019.0,2.0,58.0,2
5400,Harlur,1756.0,3.0,128.0,3
5401,Bommasandra,1280.0,3.0,50.0,3
5402,Hosa Road,1369.1,2.0,98.0,2
5403,Other,1440.0,3.0,72.0,3
5404,Hennur Road,1186.0,2.0,55.33,3
5405,Uttarahalli,1350.0,2.0,47.24,3
5406,Hebbal,1800.0,3.0,140.0,3
5407,Kudlu,1600.0,3.0,79.0,3
5408,GM Palaya,1000.0,2.0,35.0,2
5409,Banashankari Stage III,1305.0,2.0,59.0,3
5410,Kambipura,1082.0,2.0,45.5,3
5411,Nagarbhavi,1050.0,2.0,80.0,2
5412,Other,1200.0,2.0,56.0,2
5413,Dasarahalli,1220.0,2.0,52.0,2
5414,Kanakapura,2130.0,4.0,120.0,4
5415,Harlur,1749.0,3.0,120.0,3
5416,Doddaballapur,1276.0,2.0,48.0,3
5417,Other,1670.0,3.0,75.0,3
5418,Hennur Road,2264.0,3.0,168.0,3
5419,Begur,1100.0,2.0,55.0,2
5420,Chandapura,674.0,1.0,19.9,2
5421,Electronics City Phase 1,1125.0,2.0,65.0,2
5422,Nagavara,1125.0,2.0,44.5,2
5423,Other,700.0,2.0,29.0,2
5424,BTM Layout,1300.0,2.0,75.0,3
5425,JP Nagar,1600.0,3.0,83.0,3
5426,Magadi Road,1052.0,2.0,60.0,3
5427,Devarachikkanahalli,1130.0,2.0,36.0,2
5428,Electronic City,1500.0,2.0,63.0,3
5429,Old Madras Road,1350.0,3.0,47.25,3
5430,Gottigere,1230.0,2.0,52.0,3
5431,Haralur Road,1520.0,2.0,85.0,3
5432,Kanakpura Road,525.0,1.0,26.25,1
5433,Hosa Road,1040.0,2.0,61.0,2
5434,Other,1300.0,2.0,67.0,3
5435,Old Airport Road,2690.0,4.0,201.0,4
5436,Panathur,1140.0,2.0,51.2,2
5437,Nagavarapalya,646.0,1.0,25.84,1
5438,Kadugodi,1050.0,2.0,34.0,2
5439,Whitefield,1458.0,2.0,62.0,3
5440,Balagere,1007.0,2.0,67.0,2
5441,Doddathoguru,1105.0,2.0,50.0,2
5442,Raja Rajeshwari Nagar,1170.0,2.0,50.0,2
5443,Chandapura,1080.0,2.0,45.0,2
5444,Kaggalipura,1150.0,2.0,62.0,3
5445,Ramamurthy Nagar,1200.0,2.0,57.9,2
5446,Other,1200.0,2.0,54.0,2
5447,Kudlu Gate,1656.0,3.0,75.0,3
5448,KR Puram,1040.0,2.0,50.0,2
5449,Hosur Road,1085.0,2.0,33.7,2
5450,Other,1215.0,2.0,49.75,3
5451,NRI Layout,2150.0,4.0,115.0,4
5452,Panathur,1210.0,2.0,77.0,2
5453,Other,1050.0,2.0,55.0,2
5454,Iblur Village,1920.0,3.0,150.0,3
5455,Uttarahalli,1250.0,2.0,50.0,3
5456,Malleshpalya,1421.0,2.0,90.0,2
5457,Old Madras Road,1425.0,2.0,74.31,3
5458,Budigere,1162.0,2.0,58.0,2
5459,Whitefield,905.0,1.0,60.0,1
5460,Sarjapur  Road,914.0,2.0,32.0,2
5461,Other,1258.0,2.0,58.0,2
5462,Whitefield,1537.0,2.0,70.0,3
5463,Chikkalasandra,1230.0,2.0,53.51,3
5464,Hosur Road,2000.0,4.0,69.0,4
5465,Indira Nagar,3200.0,3.0,250.0,4
5466,Anjanapura,950.0,2.0,32.0,2
5467,Marathahalli,4000.0,4.0,200.0,4
5468,Yelahanka,1282.0,2.0,48.72,3
5469,Jakkur,1220.0,2.0,49.0,3
5470,Budigere,1636.0,3.0,85.0,3
5471,7th Phase JP Nagar,1415.0,3.0,65.0,3
5472,Green Glen Layout,1728.0,3.0,125.0,3
5473,7th Phase JP Nagar,1680.0,3.0,125.0,3
5474,Yelahanka,3990.0,4.0,260.0,4
5475,Kasavanhalli,1495.0,2.0,83.0,2
5476,Yeshwanthpur,2501.0,3.0,138.0,3
5477,Kanakpura Road,381.0,1.0,28.0,1
5478,Hennur Road,2002.0,3.0,120.0,3
5479,Banjara Layout,1200.0,2.0,70.0,2
5480,Bommasandra,1942.0,3.0,90.0,3
5481,Electronics City Phase 1,1522.5,2.0,60.75,3
5482,Other,1450.0,3.0,90.0,3
5483,Electronic City,1039.0,2.0,50.0,2
5484,Old Madras Road,1210.0,2.0,80.0,2
5485,Yelahanka,1620.0,3.0,90.0,3
5486,Hebbal Kempapura,3408.0,3.0,260.0,3
5487,Marathahalli,1314.0,2.0,55.0,2
5488,Bisuvanahalli,945.0,2.0,33.0,2
5489,Nehru Nagar,1374.0,3.0,72.0,3
5490,Kanakpura Road,1603.0,3.0,113.0,3
5491,Kengeri,1230.0,2.0,52.0,3
5492,Basavangudi,670.0,1.0,50.0,1
5493,Sarjapur  Road,1864.0,3.0,105.0,4
5494,Hosa Road,2500.0,3.0,100.0,3
5495,Raja Rajeshwari Nagar,1625.0,2.0,54.0,3
5496,Whitefield,1186.0,2.0,55.0,2
5497,Electronic City,770.0,1.0,39.9,2
5498,Varthur,1085.0,2.0,45.0,2
5499,Other,1893.0,3.0,115.0,3
5500,Kundalahalli,1496.0,2.0,78.0,3
5501,Electronics City Phase 1,1550.0,2.0,82.0,3
5502,Marathahalli,1200.0,2.0,58.17,3
5503,Badavala Nagar,1494.0,2.0,94.55,3
5504,Electronic City Phase II,1286.0,2.0,69.0,2
5505,Hebbal,1860.0,3.0,95.0,3
5506,Haralur Road,1243.0,2.0,45.0,2
5507,Brookefield,1200.0,2.0,75.0,2
5508,Sarjapur,1044.0,2.0,32.0,2
5509,7th Phase JP Nagar,1040.0,2.0,41.59,2
5510,8th Phase JP Nagar,1125.0,2.0,36.94,2
5511,Subramanyapura,1278.0,2.0,59.0,3
5512,Other,2400.0,6.0,98.0,6
5513,Other,1250.0,2.0,43.0,2
5514,Lakshminarayana Pura,1210.0,2.0,75.0,2
5515,Sarjapur  Road,1157.0,2.0,57.84,3
5516,Raja Rajeshwari Nagar,1185.0,2.0,51.15,2
5517,Kalena Agrahara,1450.0,3.0,100.0,3
5518,Old Madras Road,1859.0,3.0,121.0,3
5519,Ramamurthy Nagar,1305.0,3.0,60.0,3
5520,Thanisandra,784.0,1.0,35.285,1
5521,Sarjapur  Road,1150.0,2.0,36.8,2
5522,Whitefield,1806.0,3.0,85.0,3
5523,Kudlu,1027.0,2.0,42.0,2
5524,Uttarahalli,1002.0,2.0,40.08,2
5525,Electronic City Phase II,1220.0,2.0,36.21,3
5526,Whitefield,1109.0,2.0,35.22,2
5527,Uttarahalli,1002.0,2.0,40.08,2
5528,Narayanapura,1308.0,2.0,89.04,2
5529,Hennur Road,1232.0,2.0,69.6,2
5530,Haralur Road,1027.0,2.0,44.0,2
5531,Kalyan nagar,1250.0,2.0,65.0,2
5532,Raja Rajeshwari Nagar,1255.0,2.0,53.87,2
5533,Akshaya Nagar,1434.0,3.0,84.0,3
5534,Doddathoguru,925.0,2.0,30.0,2
5535,Jakkur,1858.0,3.0,123.0,3
5536,Other,1205.0,2.0,70.0,2
5537,Other,1500.0,3.0,90.0,3
5538,Mysore Road,1020.0,2.0,48.95,2
5539,Thanisandra,965.0,2.0,56.0,2
5540,Battarahalli,1636.0,2.0,82.89,2
5541,Kundalahalli,1724.0,3.0,125.0,3
5542,Whitefield,1216.0,2.0,67.0,2
5543,Yelahanka,654.0,1.0,36.25,1
5544,Other,1190.0,2.0,41.0,2
5545,Budigere,1636.0,3.0,92.0,3
5546,Hennur Road,1195.0,2.0,73.0,2
5547,Other,1250.0,2.0,67.0,2
5548,Whitefield,1452.0,3.0,90.0,3
5549,Thanisandra,1546.0,3.0,95.0,3
5550,Other,2700.0,3.0,90.0,4
5551,JP Nagar,3000.0,3.0,150.0,4
5552,Other,375.0,1.0,26.0,1
5553,Balagere,1007.0,2.0,66.0,2
5554,Hennur Road,1020.0,2.0,47.0,2
5555,Marathahalli,1125.0,2.0,55.0,2
5556,Other,909.0,2.0,43.0,3
5557,Other,1400.0,2.0,85.0,2
5558,Kadugodi,1152.0,2.0,61.0,2
5559,Subramanyapura,958.0,2.0,34.49,2
5560,Whitefield,1150.0,2.0,55.0,2
5561,Bellandur,1310.0,2.0,85.0,2
5562,Green Glen Layout,1645.0,3.0,110.0,3
5563,Other,1800.0,2.0,100.0,3
5564,8th Phase JP Nagar,1100.0,2.0,35.0,2
5565,Thanisandra,777.0,1.0,38.535,1
5566,Other,925.0,2.0,70.0,2
5567,Basavangudi,1542.14,3.0,120.0,3
5568,Thanisandra,1430.0,2.0,54.0,3
5569,Bommanahalli,1020.0,2.0,55.0,2
5570,Anekal,967.0,2.0,45.0,3
5571,Other,850.0,1.0,35.5,2
5572,Thanisandra,1697.0,3.0,110.0,3
5573,Varthur,1250.0,2.0,47.0,2
5574,Gottigere,1120.0,2.0,50.0,2
5575,NRI Layout,1200.0,4.0,95.0,4
5576,Hebbal,1200.0,2.0,52.0,2
5577,7th Phase JP Nagar,1100.0,2.0,44.0,2
5578,Devarachikkanahalli,1417.0,2.0,76.0,3
5579,Thanisandra,1492.0,3.0,88.0,3
5580,Devanahalli,1498.0,3.0,79.15,3
5581,Kundalahalli,1010.0,2.0,48.27,2
5582,Hennur,1255.0,2.0,53.5,2
5583,Channasandra,1050.0,2.0,35.0,2
5584,Hegde Nagar,1847.0,3.0,125.0,3
5585,Other,1200.0,2.0,55.0,2
5586,Bellandur,982.0,2.0,37.28,2
5587,Kengeri,750.0,2.0,36.5,2
5588,Electronic City,919.0,2.0,35.0,2
5589,Budigere,1087.0,2.0,54.3,2
5590,Other,1480.0,3.0,74.0,3
5591,Tindlu,1180.0,2.0,52.0,2
5592,Jigani,1221.0,3.0,65.0,3
5593,Haralur Road,1194.0,2.0,46.0,2
5594,Thanisandra,2072.0,3.0,122.0,3
5595,Whitefield,1600.0,3.0,69.0,3
5596,Sahakara Nagar,2200.0,3.0,98.0,3
5597,Kaikondrahalli,1253.0,2.0,81.5,2
5598,Hennur Road,1061.0,2.0,54.92,2
5599,Marathahalli,1950.0,3.0,115.0,3
5600,Marathahalli,1250.0,2.0,68.0,2
5601,Hennur Road,1585.0,2.0,80.0,3
5602,Kanakpura Road,1452.0,3.0,60.98,3
5603,Kammasandra,1015.0,2.0,37.0,2
5604,Marathahalli,1125.0,2.0,56.8,2
5605,Electronic City Phase II,1116.0,2.0,40.0,2
5606,Old Madras Road,1300.0,2.0,100.0,2
5607,Raja Rajeshwari Nagar,1419.0,2.0,60.42,2
5608,Other,1310.0,2.0,55.0,3
5609,Kaggadasapura,1240.0,2.0,58.58,2
5610,Chamrajpet,1565.0,3.0,98.91,3
5611,Budigere,1820.0,3.0,89.0,3
5612,Gubbalala,2500.0,3.0,88.0,3
5613,Hosa Road,1245.0,2.0,62.0,2
5614,GM Palaya,1315.0,3.0,65.0,3
5615,Kenchenahalli,1410.0,2.0,73.0,3
5616,Dasarahalli,1375.0,2.0,60.0,2
5617,Old Madras Road,1299.0,2.0,95.0,2
5618,Other,993.0,2.0,45.5,2
5619,Hebbal,1255.0,2.0,95.0,3
5620,Hoodi,1655.0,3.0,131.0,3
5621,Other,6000.0,1.0,276.0,1
5622,Begur Road,1634.0,3.0,111.0,3
5623,Banaswadi,1222.0,2.0,80.0,2
5624,Gottigere,1500.0,3.0,63.0,3
5625,Hulimavu,850.0,1.0,39.5,2
5626,Whitefield,1295.0,2.0,78.5,2
5627,Sarjapur  Road,1320.0,2.0,100.0,2
5628,2nd Stage Nagarbhavi,3000.0,3.0,170.0,4
5629,Harlur,1197.0,2.0,82.0,2
5630,Other,1320.0,2.0,60.0,3
5631,Whitefield,840.0,1.0,57.6,1
5632,Whitefield,640.0,1.0,19.83,1
5633,Raja Rajeshwari Nagar,1693.0,3.0,71.38,3
5634,Kodihalli,1000.0,2.0,62.0,2
5635,Babusapalaya,1305.0,2.0,70.0,2
5636,Kodichikkanahalli,450.0,1.0,18.0,1
5637,Tumkur Road,4800.0,5.0,150.0,5
5638,Whitefield,1991.0,3.0,104.0,3
5639,Battarahalli,1779.0,3.0,90.0,3
5640,Banaswadi,870.0,2.0,38.0,2
5641,Thanisandra,1595.0,3.0,120.0,3
5642,Kanakpura Road,525.0,1.0,26.0,1
5643,Yelahanka,1614.0,3.0,93.0,3
5644,Gottigere,1200.0,2.0,40.0,2
5645,Electronic City Phase II,1150.0,3.0,46.0,3
5646,Sonnenahalli,1610.0,3.0,80.48,3
5647,Whitefield,1190.0,2.0,41.0,2
5648,Other,1050.0,2.0,50.0,2
5649,7th Phase JP Nagar,1460.0,2.0,97.0,3
5650,Other,600.0,1.0,33.0,1
5651,Other,1569.0,3.0,70.0,3
5652,Other,2600.0,3.0,147.0,3
5653,Electronics City Phase 1,645.0,1.0,42.5,1
5654,Marathahalli,1350.0,2.0,90.0,2
5655,Other,1410.0,2.0,45.12,3
5656,Whitefield,1109.0,2.0,35.47,2
5657,Bannerghatta Road,1215.0,2.0,68.0,2
5658,Varthur Road,1255.0,2.0,52.76,2
5659,Other,1020.0,2.0,49.0,2
5660,Other,1225.0,2.0,82.0,3
5661,Singasandra,1120.0,2.0,60.0,2
5662,Kasavanhalli,1225.0,2.0,69.0,3
5663,ITPL,1200.0,3.0,56.12,3
5664,Bommasandra,1127.0,2.0,45.0,2
5665,Whitefield,1655.0,3.0,97.0,3
5666,Varthur,1200.0,3.0,68.38,3
5667,Kaggadasapura,1000.0,2.0,43.0,2
5668,CV Raman Nagar,1225.0,2.0,47.88,2
5669,Hormavu,1350.0,2.0,45.0,2
5670,Sahakara Nagar,1175.0,2.0,49.0,2
5671,Other,655.0,1.0,27.0,1
5672,Hosa Road,1311.0,2.0,84.86,3
5673,CV Raman Nagar,1000.0,2.0,38.5,2
5674,Kanakpura Road,1050.0,2.0,59.0,3
5675,Somasundara Palya,1275.0,2.0,52.0,3
5676,Other,927.0,2.0,50.0,2
5677,Varthur,1520.0,2.0,61.0,3
5678,Hebbal,1333.0,2.0,104.0,2
5679,Other,600.0,1.0,18.0,1
5680,Sarjapur  Road,1773.5,2.0,85.125,3
5681,Koramangala,1100.0,2.0,85.0,2
5682,Haralur Road,1650.0,3.0,100.0,3
5683,Kasavanhalli,1917.0,3.0,132.0,3
5684,Billekahalli,950.0,2.0,58.11,2
5685,Other,1175.0,2.0,48.72,2
5686,8th Phase JP Nagar,1089.0,2.0,43.55,2
5687,Hoodi,1257.0,2.0,68.5,2
5688,Sarjapur,650.0,1.0,19.87,1
5689,Other,2800.0,4.0,200.0,4
5690,Vidyaranyapura,945.0,2.0,40.0,2
5691,Koramangala,1161.0,2.0,63.85,2
5692,Banashankari Stage V,1630.0,3.0,51.35,3
5693,Jalahalli,1310.0,2.0,60.0,3
5694,Other,750.0,2.0,28.0,2
5695,Whitefield,1200.0,3.0,67.77,3
5696,Other,1000.0,2.0,45.0,2
5697,Old Madras Road,4000.0,4.0,225.0,4
5698,Nagavara,1315.0,2.0,70.0,2
5699,Sahakara Nagar,1370.0,2.0,90.0,3
5700,Electronic City,1128.0,2.0,64.0,2
5701,Padmanabhanagar,1250.0,2.0,70.0,3
5702,Hebbal,1645.0,3.0,117.0,3
5703,Horamavu Agara,1284.0,2.0,75.0,3
5704,Hebbal,2600.0,3.0,199.0,3
5705,Haralur Road,1580.0,3.0,73.0,3
5706,Akshaya Nagar,2650.0,3.0,125.0,3
5707,Bannerghatta Road,1215.0,2.0,68.0,2
5708,Uttarahalli,1075.0,2.0,40.0,2
5709,R.T. Nagar,1400.0,2.0,78.0,3
5710,Subramanyapura,1400.0,2.0,55.0,3
5711,Bisuvanahalli,845.0,2.0,30.0,2
5712,Panathur,1199.0,2.0,85.0,2
5713,Gunjur,1175.0,2.0,43.48,2
5714,Bellandur,1767.0,3.0,109.0,3
5715,Sarjapur  Road,1800.0,3.0,90.0,4
5716,Talaghattapura,1856.0,3.0,135.0,3
5717,Whitefield,1290.0,2.0,90.0,2
5718,Kasavanhalli,1375.0,2.0,78.0,2
5719,Other,985.0,2.0,57.0,2
5720,Singasandra,1099.0,2.0,37.5,2
5721,Marathahalli,1200.0,2.0,53.0,2
5722,Hulimavu,1000.0,2.0,45.0,2
5723,Electronic City,1159.0,2.0,38.0,3
5724,BTM Layout,1540.0,2.0,78.0,3
5725,Other,1503.0,2.0,93.0,3
5726,Uttarahalli,1580.0,3.0,60.0,3
5727,Mico Layout,1190.0,2.0,39.25,2
5728,Other,1200.0,2.0,61.0,2
5729,ITPL,1200.0,3.0,56.12,3
5730,Other,1500.0,2.0,52.0,3
5731,Thanisandra,1880.0,3.0,120.0,3
5732,Padmanabhanagar,1150.0,2.0,45.0,2
5733,Kasavanhalli,4408.0,4.0,344.0,4
5734,Bellandur,924.0,2.0,35.11,2
5735,Other,1765.0,3.0,77.27,3
5736,Bannerghatta Road,1894.0,3.0,115.0,3
5737,Other,1768.0,3.0,95.0,3
5738,Kothanur,1790.0,3.0,97.0,3
5739,Whitefield,1200.0,2.0,45.0,2
5740,Kengeri,2540.0,4.0,160.0,4
5741,Mahadevpura,1137.0,2.0,53.4,2
5742,Jakkur,3181.0,2.0,229.0,4
5743,Mysore Road,1568.0,2.0,100.0,3
5744,AECS Layout,1308.0,2.0,60.0,2
5745,Bisuvanahalli,1200.0,2.0,41.0,3
5746,Other,800.0,1.0,32.0,1
5747,Subramanyapura,958.0,2.0,33.53,2
5748,Talaghattapura,2273.0,3.0,159.0,3
5749,Thanisandra,760.0,1.0,50.0,1
5750,Dommasandra,1090.0,2.0,43.5,2
5751,Sarjapur  Road,1550.0,2.0,89.0,3
5752,Ramagondanahalli,1251.0,2.0,50.0,2
5753,Electronic City,1070.0,2.0,53.0,2
5754,Kalena Agrahara,1200.0,2.0,45.0,2
5755,CV Raman Nagar,1435.0,2.0,60.0,3
5756,Bommasandra,1400.0,2.0,45.0,3
5757,Judicial Layout,2330.0,3.0,94.71,4
5758,Thanisandra,1200.0,2.0,60.0,2
5759,Panathur,1000.0,2.0,40.0,2
5760,Bannerghatta Road,1655.0,2.0,62.89,3
5761,Other,600.0,1.0,35.0,1
5762,Electronics City Phase 1,1175.0,2.0,50.0,2
5763,Uttarahalli,1155.0,2.0,40.43,2
5764,Budigere,1149.0,2.0,65.0,2
5765,Jakkur,1745.0,2.0,98.485,3
5766,Other,1010.0,2.0,55.0,2
5767,Hegde Nagar,1718.0,3.0,119.0,3
5768,Other,650.0,1.0,20.0,2
5769,Banashankari,1330.0,2.0,77.0,2
5770,Hormavu,1200.0,2.0,68.0,2
5771,Bannerghatta Road,1693.0,3.0,89.0,3
5772,Margondanahalli,900.0,2.0,55.0,2
5773,NGR Layout,1020.0,2.0,46.0,2
5774,Amruthahalli,1700.0,3.0,77.0,3
5775,Panathur,661.0,1.0,40.0,1
5776,Bannerghatta Road,1280.0,2.0,60.16,2
5777,Hosur Road,1170.0,2.0,48.0,2
5778,Sarjapur  Road,1150.0,2.0,44.0,2
5779,Banjara Layout,1050.0,2.0,64.8,2
5780,Other,1080.0,2.0,37.8,2
5781,Harlur,1303.0,2.0,90.0,2
5782,Raja Rajeshwari Nagar,1196.0,2.0,40.54,2
5783,Nagarbhavi,2500.0,3.0,180.0,5
5784,Bommanahalli,1250.0,3.0,41.0,3
5785,Akshaya Nagar,1419.0,2.0,87.0,3
5786,Banashankari,1200.0,2.0,49.0,2
5787,7th Phase JP Nagar,1120.0,2.0,65.0,2
5788,Electronics City Phase 1,762.5,1.0,45.4,1
5789,Electronics City Phase 1,1245.0,2.0,75.0,2
5790,Channasandra,1093.0,2.0,34.0,2
5791,Hebbal,1345.0,2.0,97.0,2
5792,Other,1500.0,2.0,45.0,2
5793,Vijayanagar,1180.0,2.0,86.0,2
5794,NGR Layout,1020.0,2.0,48.45,2
5795,Other,1800.0,3.0,85.0,3
5796,Kothannur,1240.0,2.0,39.85,3
5797,CV Raman Nagar,1020.0,2.0,55.0,2
5798,Other,2095.0,3.0,142.0,3
5799,Gunjur,1362.0,3.0,62.63,3
5800,Yelahanka,694.0,1.0,30.84,1
5801,Vittasandra,1404.0,2.0,70.0,2
5802,Electronic City Phase II,1192.0,2.0,47.0,3
5803,Vittasandra,1259.0,2.0,67.48,2
5804,Kengeri,1000.0,2.0,34.0,2
5805,Rachenahalli,985.0,2.0,49.97,2
5806,Indira Nagar,850.0,1.0,60.0,1
5807,Uttarahalli,1650.0,2.0,50.0,3
5808,Ambedkar Nagar,1367.0,2.0,86.0,2
5809,Rajaji Nagar,1210.0,2.0,81.0,3
5810,Other,1190.0,2.0,48.6,2
5811,Sarjapur,1175.0,2.0,42.0,2
5812,Whitefield,1140.0,2.0,40.0,2
5813,Hoskote,1095.0,2.0,33.6,2
5814,Gubbalala,1435.0,2.0,80.0,3
5815,Choodasandra,725.0,2.0,36.0,2
5816,Other,1600.0,2.0,88.0,3
5817,Nehru Nagar,1674.0,3.0,90.0,3
5818,Haralur Road,1243.0,2.0,46.0,2
5819,Kanakpura Road,1703.0,3.0,130.0,3
5820,Padmanabhanagar,1350.0,3.0,71.55,3
5821,Horamavu Agara,1145.0,2.0,41.21,2
5822,Whitefield,1216.0,2.0,75.0,2
5823,Kothanur,2700.0,4.0,175.0,4
5824,Raja Rajeshwari Nagar,1196.0,2.0,40.54,2
5825,Kanakpura Road,1600.0,3.0,90.0,3
5826,Banashankari Stage V,1510.0,3.0,47.57,3
5827,Haralur Road,1194.0,2.0,47.0,2
5828,Raja Rajeshwari Nagar,1630.0,3.0,60.65,3
5829,Hennur Road,1020.0,2.0,45.0,2
5830,Hosakerehalli,1410.0,2.0,53.58,3
5831,Sarjapur  Road,1691.0,3.0,113.0,3
5832,KR Puram,1200.0,4.0,83.0,4
5833,Banaswadi,1200.0,2.0,60.0,2
